#,,,,,,,
# VER. = 1.0,,,,,,,
#,,,,,,,
# DATE = 2017-04-26,,,,,,,
#,,,,,,,
# UPDATED,,,,,,,
#,,,,,,,
# EPOCH = 2017-01-01,,,,,,,
# CODE,PROC,AVRACT,NEWACT,ALPHA,P_T30,P_T50,NAME
F013103,BSI,1100,1717,0.24,1.48E-01,2.33E-01,Hinagu fault zone (Yatsushirokai segment)
F01300C,SIM,-,-,0,0.00E+00,0.00E+00,Futagawa fault zone (Futagawa segment/Uto segment)
F01300D,SIM,-,-,0,1.25E-03,2.07E-03,Futagawa fault zone (Uto segment/Uto-hanto-hokugan segment)
F01300E,SIM,-,-,0,0.00E+00,0.00E+00,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment)
F01310B,SIM,-,-,0,2.48E-05,4.52E-05,Hinagu fault zone (Takano-Shirahata segment/Hinagu segment)
F01310C,SIM,-,-,0,1.58E-02,2.57E-02,Hinagu fault zone (Hinagu segment/Yatsushirokai segment)
F01300A,SIM,-,-,0,0.00E+00,0.00E+00,Futagawa fault zone (All segment)
F01300F,SIM,-,-,0,0.00E+00,0.00E+00,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment/Hinagu segment)
F01310A,SIM,-,-,0,2.48E-05,4.52E-05,Hinagu fault zone (All segment)
F01300B,SIM,-,-,0,0.00E+00,0.00E+00,Futagawa/Hinagu fault zone (Futagawa segment/all segment of Hinagu fault zone)
F013201,POI,34000,-,0,8.82E-04,1.47E-03,Midorikawa fault zone
F013301,BPT,8000,7300,0.24,1.10E-02,1.83E-02,Hitoyoshi-bonchi-nanen fault zone
F013401,BPT,8000,7300,0.24,1.10E-02,1.83E-02,Izumi fault zone
F013501,POI,20000,-,0,1.50E-03,2.50E-03,Koshiki fault zone (Kamikoshiki-jima northeastern segment)
F013502,POI,2400,-,0,1.24E-02,2.06E-02,Koshiki fault zone (Koshiki segment)
F013601,POI,64000,-,0,4.69E-04,7.81E-04,Ichiki fault zone (Ichiki segment)
F013602,POI,85000,-,0,3.53E-04,5.88E-04,Ichiki fault zone (Koshiki-kaikyo center segment)
F013603,POI,43000,-,0,6.97E-04,1.16E-03,Ichiki fault zone (Fukiagehama seiho-Oki segment)
F014121,BPT,2600,717,0.24,0.00E+00,0.00E+00,Sekiya fault
F014221,POI,2400,-,0,1.24E-02,2.06E-02,Uchinokomori fault
F014321,POI,5200,-,0,5.75E-03,9.57E-03,Katashinagawa-sagan fault
F014421,POI,5000,-,0,5.98E-03,9.95E-03,Okubo fault
F014521,POI,5700,-,0,5.25E-03,8.73E-03,Ota fault
F014621,BSI,800,170,0.24,0.00E+00,0.00E+00,Nagano-bonchi-seien fault zone (Iyama-Chikuma segment)
F014622,PSI,3000,-,0,9.95E-03,1.65E-02,Nagano-bonchi-seien fault zone (Omi segment)
F01462A,SIM,-,-,0,0.00E+00,0.00E+00,Nagano-bonchi-seien fault zone (All segment)
F014721,BSI,10000,6200,0.24,1.42E-03,2.39E-03,Fukaya fault zone
F014821,BSI,45000,15000,0.24,0.00E+00,0.00E+00,Ayasegawa fault (Kounosu-Ina segment)
F014822,PSI,38000,-,0,7.89E-04,1.31E-03,Ayasegawa fault (Ina-Kawaguchi segment)
F01482A,SIM,-,-,0,0.00E+00,0.00E+00,Fukaya/Ayasegawa fault zone (Fukaya fault zone/Kounosu-Ina segment)
F01482B,SIM,-,-,0,0.00E+00,0.00E+00,Fukaya/Ayasegawa fault zone (Kounosu-Ina segment/Ina-Kawaguchi segment)
F01482C,SIM,-,-,0,0.00E+00,0.00E+00,Fukaya/Ayasegawa fault zone (All segment)
F014921,POI,28000,-,0,1.07E-03,1.78E-03,Ogose fault
F015021,BPT,10000,20000,0.24,2.21E-02,3.66E-02,Tachikawa fault zone
F015121,POI,57000,-,0,5.26E-04,8.77E-04,Kamogawa-teichi fault zone
F015221,BPT,1900,1517,0.24,3.04E-02,5.14E-02,Miura-hanto fault group (Main part/Kinugasa/Kitatake fault zone)
F015222,BPT,1600,2300,0.24,1.09E-01,1.76E-01,Miura-hanto fault group (Main part/Takeyama fault zone)
F015223,BPT,22000,26000,0.24,6.70E-03,1.11E-02,Miura-hanto fault group (Southern part)
F015321,BPT,4000,1617,0.24,2.77E-05,5.13E-05,Isehara fault
F015421,POI,800,-,0,3.68E-02,6.06E-02,Shiozawa fault zone
F015521,BPT,4000,2700,0.24,6.35E-03,1.08E-02,Hirayama-Matsuda-kita fault zone
F015621,POI,2000,-,0,1.49E-02,2.47E-02,Sone-kyuryo fault zone
F015721,POI,4000,-,0,7.47E-03,1.24E-02,Minobu fault
F015821,BPT,1400,87,0.24,0.00E+00,0.00E+00,Kitaizu fault zone
F015921,BPT,2000,37,0.24,0.00E+00,0.00E+00,Ito-oki falut
F016021,BPT,2000,39,0.24,0.00E+00,0.00E+00,Inatori fault zone
F016121,BPT,2000,43,0.24,0.00E+00,0.00E+00,Iro-zaki fault
F016221,BSI,1000,1317,0.24,1.11E-01,1.75E-01,Itoigawa-Shizuoka-kozosen fault zone (Northern segment)
F016222,BSI,600,1217,0.24,2.53E-01,3.70E-01,Itoigawa-Shizuoka-kozosen fault zone (Central northern segment)
F016223,BSI,1300,1317,0.24,5.67E-02,9.31E-02,Itoigawa-Shizuoka-kozosen fault zone (Central southern segment)
F016224,BSI,4600,2500,0.24,6.44E-04,1.12E-03,Itoigawa-Shizuoka-kozosen fault zone (Southern segment)
F01622A,SIM,-,-,0,3.21E-02,5.06E-02,Itoigawa-Shizuoka-kozosen fault zone (Northern segment/Central northern segment)
F01622B,SIM,-,-,0,1.41E-02,2.31E-02,Itoigawa-Shizuoka-kozosen fault zone (Central northern segment/Central southern segment)
F01622C,SIM,-,-,0,1.29E-04,2.24E-04,Itoigawa-Shizuoka-kozosen fault zone (Central southern segment/Southern segment)
F01622D,SIM,-,-,0,1.41E-02,2.31E-02,Itoigawa-Shizuoka-kozosen fault zone (Northern segment/Central northern segment/Central southern segment)
F01622E,SIM,-,-,0,1.29E-04,2.24E-04,Itoigawa-Shizuoka-kozosen fault zone (Central northern segment/Central southern segment/Southern segment)
F01622F,SIM,-,-,0,1.29E-04,2.24E-04,Itoigawa-Shizuoka-kozosen fault zone (All segment)
F017001,BPT,3300,1317,0.24,0.00E+00,1.76E-05,Shinji (Kashima) fault Case 1
F017101,BPT,3300,5900,0.24,6.25E-02,1.02E-01,Shinji (Kashima) fault Case 2
F017201,BPT,20000,7600,0.24,0.00E+00,0.00E+00,Amedaki-Kamato fault
F017301,BPT,4600,74,0.24,0.00E+00,0.00E+00,Shikano-Yoshioka dault
F017401,BPT,20000,90000,0.24,1.28E-02,2.13E-02,Nichinan-ko fault
F017501,POI,20000,-,0,1.50E-03,2.50E-03,Iwatsubo fault
F017601,POI,24000,-,0,1.25E-03,2.08E-03,Yamasaki fault zone (Nagisen fault zone)
F017701,BSI,1800,1149,0.24,1.03E-02,1.82E-02,Yamasaki fault zone (Main part/Northwestern segment)
F017702,BSI,3900,1717,0.24,3.61E-05,1.40E-04,Yamasaki fault zone (Main part/Southeastern segment)
F01770A,SIM,-,-,0,1.20E-05,4.67E-05,Yamasaki fault zone (Main part Northwestern/Southeastern segment)
F017801,POI,6000,-,0,4.99E-03,8.30E-03,Chojagahara-Yoshii fault
F017901,POI,20000,-,0,1.50E-03,2.50E-03,Uzuto fault
F018001,POI,20000,-,0,1.50E-03,2.50E-03,Yasuda fault
F018101,PSI,10000,-,0,2.00E-03,3.32E-03,Kikugawa fault zone (Northern segment)
F018201,BSI,4100,5900,0.24,4.13E-02,6.79E-02,Kikugawa fault zone (Central segment)
F018301,PSI,4000,-,0,5.35E-03,8.90E-03,Kikugawa fault zone (Southern segment)
F01820A,SIM,-,-,0,4.99E-04,8.31E-04,Kikugawa fault zone (Northern segment/Central segment)
F01830A,SIM,-,-,0,1.62E-03,2.69E-03,Kikugawa fault zone (Central segment/Southern segment)
F01830B,SIM,-,-,0,4.99E-04,8.31E-04,Kikugawa fault zone (All segment)
F018401,PSI,4000,-,0,5.60E-03,9.32E-03,Iwakuni-Itsukaichi fault zone (Koi fault segment)
F018501,BSI,6000,1417,0.24,0.00E+00,0.00E+00,Iwakuni-Itsukaichi fault zone (Itsukaichi fault segment)
F018601,BSI,9000,11000,0.24,1.52E-02,2.52E-02,Iwakuni-Itsukaichi fault zone (Iwakuni fault segment)
F01850A,SIM,-,-,0,1.87E-03,3.11E-03,Iwakuni-Itsukaichi fault zone (Koi fault segment/Itsukaichi fault segment)
F01860A,SIM,-,-,0,0.00E+00,0.00E+00,Iwakuni-Itsukaichi fault zone (Itsukaichi fault segment/Iwakuni fault segment)
F018701,BPT,5800,11000,0.24,3.70E-02,6.10E-02,Suonada fault zone (Main part segment)
F018801,POI,4000,-,0,7.47E-03,1.24E-02,Suonada fault zone (Aio-oki fault segment)
F018901,BPT,2300,5600,0.24,9.84E-02,1.59E-01,Akinada fault zone
F019001,POI,8000,-,0,3.74E-03,6.23E-03,Hiroshima-wan-Iwakuni-oki fault zone
F019101,POI,4000,-,0,7.47E-03,1.24E-02,Ube-Nanpou-oki fault
F019201,BPT,4000,11000,0.24,5.93E-02,9.69E-02,Yasaka fault
F019301,POI,6000,-,0,4.99E-03,8.30E-03,Jifuku fault
F019401,POI,8000,-,0,3.74E-03,6.23E-03,Ohara-ko fault
F019501,BPT,23000,517,0.24,0.00E+00,0.00E+00,Ogori fault
F019601,POI,12000,-,0,2.50E-03,4.16E-03,Tsutsuga falult
F019701,POI,20000,-,0,1.50E-03,2.50E-03,Takibe fault
F019801,POI,20000,-,0,1.50E-03,2.50E-03,Nago fault
F019901,POI,20000,-,0,1.50E-03,2.50E-03,Sakaedani fault
F020001,POI,20000,-,0,1.50E-03,2.50E-03,Kurose fault
