Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Info,Name,Lat,Lon,Dep,Mag,MMI,Num Deaths,De Deaths,Num Injuries,De Injuries,Damage $Mill,Damage De,Houses Destroyed Num,Houses Destroyed De,Houses Damaged Num,Houses Damaged De
1968,5,16,0,48,55.4,Tsu,,*,JAPAN: OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,7,8.2,6,52,2,330,3,,3,689,3,,
1973,6,17,3,55,2.9,Tsu,,*,JAPAN: HOKKAIDO ISLAND,43.2,145.8,48,7.7,8,,,27,1,5,2,2,1,,
1974,5,8,23,33,25.2,Tsu,,*,JAPAN: NAKAGI,34.5,138.7,2,6.5,9,30,1,102,3,,2,134,3,,
1978,1,14,3,24,39,Tsu,,*,"JAPAN: TOKKAIDO, OSHIMA",34.809,139.259,14,6.6,5,25,1,129,3,,3,85,2,544,3
1978,6,12,8,14,26.4,Tsu,,*,JAPAN: SANRIKU,38.19,142.028,44,7.7,8,28,1,10000,4,865,4,,4,,
1980,9,24,17,54,24.1,,,*,"JAPAN: TOKYO, YOKOHAMA",35.45,139.964,73,6,6,2,1,73,2,1,2,,,,
1983,5,26,2,59,59.6,Tsu,,*,JAPAN: HONSHU: AKITA,40.462,139.102,24,7.7,8,4,1,324,3,800,4,,,,
1983,8,8,3,47,57.1,,,*,JAPAN: HONSHU: S COAST,35.5,139.07,25,5.3,,1,1,28,1,,1,,2,,
1984,8,6,19,6,38.3,Tsu,,*,JAPAN: KYUSHU: NOBEOKA,32.386,131.945,46,6.7,6,20,1,,,,2,,,,
1984,9,13,23,48,49.9,,,*,JAPAN: HONSHU: CENTRAL: MT ONTAKE,35.789,137.488,10,6.1,6,29,1,,,43,4,,,,
1987,3,18,3,36,30.3,Tsu,,*,"JAPAN: KYUSHU: MIYAZAKI, NAZE",32.034,131.837,54,6.7,,2,1,5,1,,2,,,,
1993,1,15,11,6,5.9,,,*,"JAPAN: HOKKADIO, KUSHIRO, HACHINOHE, HONSHU",43.3,143.691,102,7.6,6,2,1,,,358,4,,,,
1993,7,12,13,17,11.9,Tsu,,*,JAPAN: HOKKAIDO; RUSSIA: SOUTHEAST; SOUTH KOREA,42.851,139.197,17,7.7,8,23,3,233,3,1207,4,,3,,
1994,12,28,12,19,23,Tsu,,*,JAPAN: HONSHU,40.525,143.419,27,7.8,9,3,1,200,3,170.4,4,,,,
1995,1,16,20,46,52.1,Tsu,,*,"JAPAN: SW HONSHU: KOBE, AWAJI-SHIMA, NISHINOMIYA",34.583,135.018,22,6.9,11,5502,4,36896,4,100000,4,200000,4,,
2000,7,1,7,1,55.5,Tsu,Vol,*,JAPAN: NEAR S COAST HONSHU: KOZU-SHIMA,34.221,139.131,10,6.1,,1,1,,3,,1,,,,
2001,3,24,6,27,53.5,,,*,"JAPAN: HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,50,6.8,9,2,1,161,3,500,4,,,3700,4
2004,10,23,8,56,0.8,,,*,JAPAN: HONSHU: NIIGATA PREFECTURE,37.226,138.779,16,6.6,,40,1,3183,4,28000,4,6000,4,,
2005,3,20,1,53,41.8,,,*,"JAPAN: KYUSHU: FUKUOKA, GENKAI",33.807,130.131,10,6.6,,1,1,500,3,,2,65,2,,
2007,3,25,0,41,57.8,Tsu,,*,JAPAN: HONSHU: W COAST,37.336,136.588,8,6.7,,1,1,150,3,,3,58,2,455,3
2007,7,16,1,13,22,Tsu,,*,JAPAN: HONSHU: W COAST,37.57,138.478,10,6.6,,9,1,1088,4,12500,4,,,875,3
2008,6,13,23,43,45.3,,,*,JAPAN: HONSHU: TOKYO,39.03,140.881,8,6.9,,13,1,357,3,,3,,,614,3
2008,7,23,15,26,19.9,,,*,JAPAN: HONSHU: N,39.802,141.464,108,6.8,,1,1,200,3,,2,90,2,90,2
2009,8,10,20,7,9.1,Tsu,,*,JAPAN: HONSHU: S COAST,34.743,138.264,40,6.4,,1,1,123,3,,3,,,5192,4
2011,3,11,5,46,24.1,Tsu,,*,JAPAN: HONSHU,38.297,142.372,30,9.1,,1476,4,6152,4,220000,4,127511,4,273796,4
2011,4,7,14,32,43.2,Tsu,,*,JAPAN: NEAR E COAST HONSHU,38.276,141.588,42,7.1,,3,1,132,3,,1,,,,
2011,4,11,8,16,12.7,,,*,JAPAN: HONSHU,37.001,140.401,11,6.6,,7,1,,,,1,3,1,,
2016,4,15,16,25,6,,,*,"JAPAN: KUMAMOTO, OITA",32.782,130.726,10,7,,50,1,1500,4,4600,4,80000,4,,
